,_id,CRASH_COUNTY,CRASH_MONTH,DAY_OF_WEEK,FATAL_COUNT,FATAL_OR_MAJ_INJ,HOUR_OF_DAY,ICY_ROAD,INJURY,INJURY_COUNT,INJURY_OR_FATAL,MAJOR_INJURY,MAJ_INJ_COUNT,MINOR_INJURY,MIN_INJ_COUNT,MODERATE_INJURY,MOD_INJ_COUNT,TIME_OF_DAY,TOT_INJ_COUNT,WEATHER,WET_ROAD
3,1,2.0,January,Monday,0.0,No,2.0,Yes,No,0.0,No,No,0.0,No,0.0,No,0.0,250.0,0.0,8.0,No
4,2,2.0,January,Monday,0.0,No,2.0,No,Yes,1.0,Yes,No,0.0,No,0.0,Yes,1.0,215.0,1.0,4.0,Yes
5,3,2.0,January,Monday,0.0,No,3.0,No,No,0.0,No,No,0.0,No,0.0,No,0.0,300.0,0.0,1.0,No
6,4,2.0,January,Monday,0.0,No,6.0,No,No,0.0,No,No,0.0,No,0.0,No,0.0,640.0,0.0,1.0,No
7,5,2.0,January,Monday,0.0,No,3.0,No,Yes,1.0,Yes,No,0.0,Yes,1.0,No,0.0,333.0,1.0,1.0,No
8,6,2.0,January,Monday,0.0,No,9.0,No,No,0.0,No,No,0.0,No,0.0,No,0.0,906.0,0.0,1.0,Yes
9,7,2.0,January,Monday,0.0,No,9.0,No,No,0.0,No,No,0.0,No,0.0,No,0.0,922.0,0.0,1.0,No
10,8,2.0,January,Monday,0.0,No,5.0,Yes,No,0.0,No,No,0.0,No,0.0,No,0.0,500.0,0.0,9.0,No
11,9,2.0,January,Monday,0.0,No,9.0,No,No,0.0,No,No,0.0,No,0.0,No,0.0,929.0,0.0,1.0,Yes
12,10,2.0,January,Monday,0.0,No,8.0,Yes,No,0.0,No,No,0.0,No,0.0,No,0.0,848.0,0.0,4.0,No
13,11,2.0,January,Monday,0.0,No,12.0,No,Yes,1.0,Yes,No,0.0,No,0.0,No,0.0,1220.0,1.0,1.0,No
14,12,2.0,January,Monday,0.0,No,10.0,No,No,0.0,No,No,0.0,No,0.0,No,0.0,1040.0,0.0,4.0,No
15,13,2.0,January,Monday,0.0,No,13.0,No,No,0.0,No,No,0.0,No,0.0,No,0.0,1300.0,0.0,1.0,No
16,14,2.0,January,Monday,0.0,No,13.0,No,Yes,1.0,Yes,No,0.0,No,0.0,No,0.0,1305.0,1.0,1.0,No
17,15,2.0,January,Monday,0.0,No,12.0,No,Yes,2.0,Yes,No,0.0,No,0.0,No,0.0,1205.0,2.0,9.0,Yes
18,16,2.0,January,Monday,0.0,No,14.0,No,No,0.0,No,No,0.0,No,0.0,No,0.0,1434.0,0.0,1.0,No
19,17,2.0,January,Monday,0.0,No,9.0,No,Yes,2.0,Yes,No,0.0,No,0.0,No,0.0,920.0,2.0,8.0,No
20,18,2.0,January,Monday,0.0,No,12.0,No,No,0.0,No,No,0.0,No,0.0,No,0.0,1204.0,0.0,1.0,No
21,19,2.0,January,Monday,0.0,No,20.0,Yes,No,0.0,No,No,0.0,No,0.0,No,0.0,2001.0,0.0,4.0,No
22,20,2.0,January,Monday,0.0,No,22.0,No,Yes,1.0,Yes,No,0.0,No,0.0,Yes,1.0,2224.0,1.0,4.0,Yes
23,21,2.0,January,Monday,0.0,No,6.0,Yes,No,0.0,No,No,0.0,No,0.0,No,0.0,639.0,0.0,1.0,No
